recorded_at_utc,loop,file,description,status,public_score,kaggle_date
2026-05-27T01:07:22+00:00,1,ak01_rank_dr23_jayhawk_stack_999_001.csv,r19_loop01_ak01_rank_dr23_jayhawk_stack,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:06:49.890000
2026-05-27T01:07:58+00:00,2,ak02_rank_dr23_jayhawk_stack_998_002.csv,r19_loop02_ak02_rank_dr23_jayhawk_stack,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:07:26.213000
2026-05-27T01:08:44+00:00,3,ak03_rank_dr23_jayhawk_stack_995_005.csv,r19_loop03_ak03_rank_dr23_jayhawk_stack,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:08:11.687000
2026-05-27T01:09:20+00:00,4,ak04_rank_ai04_jayhawk_stack_999_001.csv,r19_loop04_ak04_rank_ai04_jayhawk_stack,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:08:47.637000
2026-05-27T01:09:56+00:00,5,ak05_rank_dr23_djenk_999_001.csv,r19_loop05_ak05_rank_dr23_djenk,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:09:23.880000
2026-05-27T01:10:31+00:00,6,ak06_rank_dr23_djenk_995_005.csv,r19_loop06_ak06_rank_dr23_djenk,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:09:59.357000
2026-05-27T01:11:07+00:00,7,ak07_rank_dr23_parth_999_001.csv,r19_loop07_ak07_rank_dr23_parth,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:10:34.993000
2026-05-27T01:11:43+00:00,8,ak08_rank_dr23_sarvesh_9995_0005.csv,r19_loop08_ak08_rank_dr23_sarvesh,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:11:10.607000
2026-05-27T01:12:20+00:00,9,ak09_rank_dr23_mikhail26_999_001.csv,r19_loop09_ak09_rank_dr23_mikhail26,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:11:47.590000
2026-05-27T01:12:56+00:00,10,ak10_rank_dr23_jayhawk_djenk_parth_997_0015_001_0005.csv,r19_loop10_ak10_rank_dr23_jayhawk_djenk_parth,SubmissionStatus.COMPLETE,0.95454,2026-05-27 01:12:23.043000
