recorded_at_utc,loop,file,description,status,public_score,kaggle_date
2026-05-18T04:52:19+00:00,1,ab01_raunak_s49_direct.csv,r10_loop01_ab01_raunak_s49_direct,SubmissionStatus.COMPLETE,0.95449,2026-05-18 04:51:46.513000
2026-05-18T04:52:58+00:00,2,ab02_raunak_lr46_02_direct.csv,r10_loop02_ab02_raunak_lr46_02_direct,SubmissionStatus.COMPLETE,0.95449,2026-05-18 04:52:25.637000
2026-05-18T04:53:36+00:00,3,ab03_raunak_r46_02_direct.csv,r10_loop03_ab03_raunak_r46_02_direct,SubmissionStatus.COMPLETE,0.95449,2026-05-18 04:53:03.273000
2026-05-18T04:54:13+00:00,4,ab04_raunak_r46_05_direct.csv,r10_loop04_ab04_raunak_r46_05_direct,SubmissionStatus.COMPLETE,0.95449,2026-05-18 04:53:41.317000
2026-05-18T04:54:51+00:00,5,ab05_raunak_d37_10_direct.csv,r10_loop05_ab05_raunak_d37_10_direct,SubmissionStatus.COMPLETE,0.95448,2026-05-18 04:54:18.757000
2026-05-18T04:55:30+00:00,6,ab06_raunak_hb49_direct.csv,r10_loop06_ab06_raunak_hb49_direct,SubmissionStatus.COMPLETE,0.95446,2026-05-18 04:54:57.477000
2026-05-18T04:56:10+00:00,7,ab07_raunak_c37_direct.csv,r10_loop07_ab07_raunak_c37_direct,SubmissionStatus.COMPLETE,0.95449,2026-05-18 04:55:38.317000
2026-05-18T04:56:47+00:00,8,ab08_raunak_cc_direct.csv,r10_loop08_ab08_raunak_cc_direct,SubmissionStatus.COMPLETE,0.95449,2026-05-18 04:56:15.240000
2026-05-18T04:57:29+00:00,9,ab09_rank_s49_giovanny_mikhail_80_15_05.csv,r10_loop09_ab09_rank_s49_giovanny_mikhail,SubmissionStatus.COMPLETE,0.95448,2026-05-18 04:56:56.077000
2026-05-18T04:58:11+00:00,10,ab10_rank_s49_giovanny_mikhail_70_20_10.csv,r10_loop10_ab10_rank_s49_giovanny_mikhail,SubmissionStatus.COMPLETE,0.95448,2026-05-18 04:57:38.873000
