recorded_at_utc,loop,file,description,status,public_score,kaggle_date
2026-05-28T09:47:08+00:00,1,al01_rank_dr23_sarvesh28_999_001.csv,r20_loop01_al01_rank_dr23_sarvesh28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:46:35.327000
2026-05-28T09:47:44+00:00,2,al02_rank_dr23_sarvesh28_998_002.csv,r20_loop02_al02_rank_dr23_sarvesh28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:47:12.330000
2026-05-28T09:48:20+00:00,3,al03_rank_ai04_sarvesh28_999_001.csv,r20_loop03_al03_rank_ai04_sarvesh28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:47:48.527000
2026-05-28T09:48:56+00:00,4,al04_rank_ak10_sarvesh28_999_001.csv,r20_loop04_al04_rank_ak10_sarvesh28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:48:24.153000
2026-05-28T09:49:32+00:00,5,al05_rank_dr23_djenk_sarvesh_9985_001_0005.csv,r20_loop05_al05_rank_dr23_djenk_sarvesh,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:49:00.360000
2026-05-28T09:50:09+00:00,6,al06_rank_dr23_evgen28_9995_0005.csv,r20_loop06_al06_rank_dr23_evgen28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:49:36.833000
2026-05-28T09:50:45+00:00,7,al07_rank_dr23_alunji28_9995_0005.csv,r20_loop07_al07_rank_dr23_alunji28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:50:13.377000
2026-05-28T09:51:22+00:00,8,al08_rank_dr23_parth28_999_001.csv,r20_loop08_al08_rank_dr23_parth28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:50:49.610000
2026-05-28T09:51:58+00:00,9,al09_rank_dr23_yeonseok28_9998_0002.csv,r20_loop09_al09_rank_dr23_yeonseok28,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:51:26.387000
2026-05-28T09:52:35+00:00,10,al10_rank_ag09_mikhail_sarvesh_9988_001_0002.csv,r20_loop10_al10_rank_ag09_mikhail_sarvesh,SubmissionStatus.COMPLETE,0.95454,2026-05-28 09:52:02.473000
